"butik","vecka","datum","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_convrate_Kampanj_2_om_vi_inte_har_två_kör_vi_Garant_hamburgerbröd_Brioche_ord_pris_ABP?","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Vara_1_Deli","kampanj_convrate_Vara_1_Deli","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Triangeln","kampanj_convrate_OBS_snabbnudlar_Triangeln","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_veckans_klipp","skylttyp_convrate_veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris"
"UPPSALA VÄSTERTORG",202238,2022-09-25,1101,513.1,0.466030881017257,174.05,0.158083560399637,125.05,0.113578564940963,2,0.00181653042688465,43,0.03905540417802,0,0,22,0.0199818346957312,53,0.0481380563124432,12,0.0108991825613079,10,0.00908265213442325,34,0.0308810172570391,38,0.0345140781108084,413.05,0.375158946412352,192.05,0.174432334241599,100.05,0.0908719346049046,74,0.0672116257947321,25,0.0227066303360581,0,0,2,0.00181653042688465,29,0.0263396911898274,14,0.0127157129881926,0,0,0,0,22,0.0199818346957312,0,0,0,0,0,0,53,0.0481380563124432,5,0.00454132606721163,7,0.00635785649409628,6,0.00544959128065395,4,0.0036330608537693,32,0.0290644868301544,2,0.00181653042688465,30,0.0272479564032698,8,0.0072661217075386,413.05,0.375158946412352,74,0.0672116257947321,121,0.109900090826521,26,0.0236148955495005
"UPPSALA VÄSTERTORG",202238,2022-09-24,1154,466.1,0.403899480069324,160.55,0.139124783362218,105.55,0.0914644714038128,19,0.0164644714038128,24,0.0207972270363951,0,0,12,0.0103986135181976,34,0.0294627383015598,10,0.00866551126516464,24,0.0207972270363951,24,0.0207972270363951,53,0.0459272097053726,385.55,0.334098786828423,168.55,0.14605719237435,80.55,0.0698006932409012,80,0.0693240901213172,25,0.0216637781629116,16,0.0138648180242634,3,0.00259965337954939,21,0.0181975736568458,3,0.00259965337954939,0,0,0,0,12,0.0103986135181976,0,0,0,0,0,0,34,0.0294627383015598,5,0.00433275563258232,5,0.00433275563258232,15,0.012998266897747,9,0.00779896013864818,20,0.0173310225303293,4,0.00346620450606586,44,0.0381282495667244,9,0.00779896013864818,385.55,0.334098786828423,80,0.0693240901213172,116,0.10051993067591,21,0.0181975736568458
"UPPSALA VÄSTERTORG",202238,2022-09-23,1308,659.21,0.503983180428135,225.105,0.172098623853211,142.105,0.108642966360856,41,0.0313455657492355,44,0.0336391437308868,0,0,11,0.00840978593272171,41,0.0313455657492355,22,0.0168195718654434,16,0.0122324159021407,26,0.0198776758409786,91,0.0695718654434251,554.105,0.423627675840979,246.105,0.188153669724771,105.105,0.080355504587156,120,0.0917431192660551,37,0.0282874617737003,39,0.0298165137614679,2,0.00152905198776758,35,0.0267584097859327,9,0.00688073394495413,0,0,0,0,11,0.00840978593272171,0,0,0,0,0,0,41,0.0313455657492355,3,0.00229357798165138,19,0.014525993883792,10,0.00764525993883792,6,0.00458715596330275,19,0.014525993883792,7,0.00535168195718654,70,0.0535168195718654,21,0.0160550458715596,554.105,0.423627675840979,120,0.0917431192660551,171,0.130733944954128,17,0.0129969418960245
"UPPSALA VÄSTERTORG",202238,2022-09-22,1180,520.29,0.440923728813559,206.645,0.175122881355932,118.645,0.100546610169492,7,0.00593220338983051,49,0.0415254237288136,0,0,11,0.00932203389830509,58,0.0491525423728814,13,0.0110169491525424,5,0.00423728813559322,21,0.0177966101694915,31,0.026271186440678,419.645,0.355631355932203,196.645,0.166648305084746,100.645,0.0852923728813559,106,0.0898305084745763,18,0.0152542372881356,7,0.00593220338983051,0,0,36,0.0305084745762712,13,0.0110169491525424,0,0,0,0,11,0.00932203389830509,0,0,0,0,0,0,58,0.0491525423728814,2,0.00169491525423729,11,0.00932203389830509,1,0.000847457627118644,4,0.00338983050847458,15,0.0127118644067797,6,0.00508474576271186,19,0.0161016949152542,12,0.0101694915254237,419.645,0.355631355932203,106,0.0898305084745763,102,0.0864406779661017,15,0.0127118644067797
"UPPSALA VÄSTERTORG",202238,2022-09-21,1505,832.99,0.553481727574751,341.495,0.226906976744186,206.495,0.137205980066445,34,0.0225913621262458,38,0.0252491694352159,0,0,28,0.0186046511627907,76,0.0504983388704319,34,0.0225913621262458,11,0.00730897009966777,31,0.0205980066445183,33,0.0219269102990033,676.495,0.449498338870432,350.495,0.232887043189369,156.495,0.103983388704319,185,0.122923588039867,50,0.0332225913621262,28,0.0186046511627907,6,0.00398671096345515,27,0.0179401993355482,11,0.00730897009966777,0,0,0,0,28,0.0186046511627907,0,0,0,0,0,0,76,0.0504983388704319,7,0.00465116279069767,27,0.0179401993355482,5,0.00332225913621262,6,0.00398671096345515,25,0.0166112956810631,6,0.00398671096345515,29,0.0192691029900332,4,0.0026578073089701,676.495,0.449498338870432,185,0.122923588039867,107,0.0710963455149502,34,0.0225913621262458
"UPPSALA VÄSTERTORG",202238,2022-09-20,1281,661.47,0.516370023419204,279.235,0.217982045277127,158.235,0.123524590163934,24,0.0187353629976581,46,0.0359094457455113,0,0,19,0.014832162373146,64,0.0499609679937549,14,0.0109289617486339,11,0.00858704137392662,7,0.00546448087431694,39,0.0304449648711944,527.235,0.411580796252927,260.235,0.203149882903981,134.235,0.104789227166276,145,0.113192818110851,24,0.0187353629976581,24,0.0187353629976581,0,0,25,0.0195160031225605,21,0.0163934426229508,0,0,0,0,19,0.014832162373146,0,0,0,0,0,0,64,0.0499609679937549,1,0.00078064012490242,13,0.0101483216237315,6,0.00468384074941452,5,0.0039032006245121,3,0.00234192037470726,4,0.00312256049960968,16,0.0124902419984387,23,0.0179547228727557,527.235,0.411580796252927,145,0.113192818110851,98,0.0765027322404372,24,0.0187353629976581
"UPPSALA VÄSTERTORG",202238,2022-09-19,1190,568.24,0.477512605042017,249.12,0.209344537815126,119.12,0.100100840336134,37,0.0310924369747899,28,0.0235294117647059,0,0,15,0.0126050420168067,56,0.0470588235294118,13,0.0109243697478992,8,0.00672268907563025,14,0.0117647058823529,29,0.0243697478991597,466.12,0.391697478991597,225.12,0.189176470588235,102.12,0.0858151260504202,147,0.123529411764706,17,0.0142857142857143,33,0.0277310924369748,4,0.00336134453781513,15,0.0126050420168067,13,0.0109243697478992,0,0,0,0,15,0.0126050420168067,0,0,0,0,0,0,56,0.0470588235294118,1,0.000840336134453782,12,0.0100840336134454,4,0.00336134453781513,4,0.00336134453781513,7,0.00588235294117647,7,0.00588235294117647,15,0.0126050420168067,14,0.0117647058823529,466.12,0.391697478991597,147,0.123529411764706,75,0.0630252100840336,19,0.0159663865546218
"UPPSALA VÄSTERTORG",202233,2022-08-21,1089,80,0.0734618916437098,4,0.00367309458218549,2,0.00183654729109275,0,0,8,0.00734618916437098,0,0,4,0.00367309458218549,13,0.0119375573921028,3,0.00275482093663912,6,0.00550964187327824,17,0.0156106519742883,23,0.0211202938475666,80,0.0734618916437098,18,0.0165289256198347,0,0,4,0.00367309458218549,2,0.00183654729109275,0,0,0,0,5,0.00459136822773186,3,0.00275482093663912,0,0,0,0,4,0.00367309458218549,0,0,0,0,0,0,13,0.0119375573921028,3,0.00275482093663912,0,0,5,0.00459136822773186,1,0.000918273645546373,13,0.0119375573921028,4,0.00367309458218549,18,0.0165289256198347,5,0.00459136822773186,80,0.0734618916437098,4,0.00367309458218549,53,0.0486685032139578,5,0.00459136822773186
"UPPSALA VÄSTERTORG",202233,2022-08-20,1063,134,0.126058325493885,1,0.000940733772342427,7,0.00658513640639699,3,0.00282220131702728,35,0.0329256820319849,0,0,4,0.00376293508936971,16,0.0150517403574788,0,0,5,0.00470366886171214,26,0.0244590780809031,37,0.0348071495766698,134,0.126058325493885,26,0.0244590780809031,0,0,1,0.000940733772342427,7,0.00658513640639699,3,0.00282220131702728,0,0,27,0.0253998118532455,8,0.00752587017873942,0,0,0,0,4,0.00376293508936971,0,0,0,0,0,0,16,0.0150517403574788,0,0,0,0,2,0.00188146754468485,3,0.00282220131702728,24,0.0225776105362183,2,0.00188146754468485,32,0.0301034807149577,5,0.00470366886171214,134,0.126058325493885,1,0.000940733772342427,100,0.0940733772342427,7,0.00658513640639699
"UPPSALA VÄSTERTORG",202233,2022-08-19,1349,150,0.11119347664937,0,0,4,0.00296515937731653,6,0.0044477390659748,24,0.0177909562638992,0,0,3,0.0022238695329874,26,0.0192735359525575,2,0.00148257968865827,10,0.00741289844329133,20,0.0148257968865827,55,0.0407709414381023,150,0.11119347664937,38,0.028169014084507,0,0,0,0,4,0.00296515937731653,6,0.0044477390659748,0,0,20,0.0148257968865827,4,0.00296515937731653,0,0,0,0,3,0.0022238695329874,0,0,0,0,0,0,26,0.0192735359525575,2,0.00148257968865827,0,0,7,0.00518902891030393,3,0.0022238695329874,20,0.0148257968865827,0,0,51,0.0378057820607858,4,0.00296515937731653,150,0.11119347664937,0,0,106,0.0785767234988881,6,0.0044477390659748
