"butik","vecka","antal_kvitton","zoner_count_TOTAL","zoner_convrate_TOTAL","zoner_count_Inkastare_entré","zoner_convrate_Inkastare_entré","zoner_count_F&G","zoner_convrate_F&G","zoner_count_Bröd","zoner_convrate_Bröd","zoner_count_Bake_off","zoner_convrate_Bake_off","zoner_count_Fisk","zoner_convrate_Fisk","zoner_count_Deli","zoner_convrate_Deli","zoner_count_Frys","zoner_convrate_Frys","zoner_count_Mejeri","zoner_convrate_Mejeri","zoner_count_Gavel_1","zoner_convrate_Gavel_1","zoner_count_Gavel_2","zoner_convrate_Gavel_2","zoner_count_Gavel_3","zoner_convrate_Gavel_3","kampanj_count_TOTAL","kampanj_convrate_TOTAL","skylttyp_count_kampanjvara","skylttyp_convrate_kampanjvara","kampanj_count_Kampanj_1_F&G_1","kampanj_convrate_Kampanj_1_F&G_1","kampanj_count_Kampanj_2_Hero_protein","kampanj_convrate_Kampanj_2_Hero_protein","kampanj_count_Kampanj_3_Bomben","kampanj_convrate_Kampanj_3_Bomben","kampanj_count_Kampanj_2_F&G_2","kampanj_convrate_Kampanj_2_F&G_2","kampanj_count_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_convrate_Kampanj_1_bröd_industribakat_hamburger_korv_tortillas_osv","kampanj_count_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_convrate_Kampanj_1_frallor_bullar_baguette_bake_off_bröd_om_ej_kampanj_multipris","kampanj_count_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_convrate_Kampanj_2_om_ej_två_kampanjer_multi_eller_ordinarie","kampanj_count_Kampanj_1_bladet_eller_Lax","kampanj_convrate_Kampanj_1_bladet_eller_Lax","kampanj_count_Mölnlycke","kampanj_convrate_Mölnlycke","kampanj_count_Triangeln","kampanj_convrate_Triangeln","kampanj_count_Trianglen","kampanj_convrate_Trianglen","kampanj_count_Dala_Järna","kampanj_convrate_Dala_Järna","kampanj_count_Kampanj_1_Frys","kampanj_convrate_Kampanj_1_Frys","kampanj_count_Kampanj_1_Mejeri","kampanj_convrate_Kampanj_1_Mejeri","kampanj_count_Kampanj_2_Mejeri","kampanj_convrate_Kampanj_2_Mejeri","kampanj_count_Vara_1_Gavel_1","kampanj_convrate_Vara_1_Gavel_1","kampanj_count_Vara_2_Gavel_1","kampanj_convrate_Vara_2_Gavel_1","kampanj_count_OBS_snabbnudlar_Trianglen","kampanj_convrate_OBS_snabbnudlar_Trianglen","kampanj_count_OBS_äggnudlar_Mölnlycke","kampanj_convrate_OBS_äggnudlar_Mölnlycke","kampanj_count_Kampanj_1_snacks","kampanj_convrate_Kampanj_1_snacks","kampanj_count_Kampanj_2_Snacks_choklad_ABP_om_det_finns","kampanj_convrate_Kampanj_2_Snacks_choklad_ABP_om_det_finns","skylttyp_count_TOTAL","skylttyp_convrate_TOTAL","skylttyp_count_Veckans_klipp","skylttyp_convrate_Veckans_klipp","skylttyp_count_alltid_bra_pris","skylttyp_convrate_alltid_bra_pris","skylttyp_count_ordinariepris","skylttyp_convrate_ordinariepris","skylttyp_count_klubbpris","skylttyp_convrate_klubbpris","skylttyp_count_ordinarie","skylttyp_convrate_ordinarie"
"UPPSALA VÄSTERTORG",202239,8453,5592.36,0.661582869986987,2901.38,0.343236720690879,1588.98,0.187978232580149,180,0.0212942150715722,359,0.0424701289483024,0,0,0,0,52,0.00615166213178753,152,0.0179817816159943,48,0.00567845735241926,183,0.0216491186560984,128,0.0151425529397847,4105.505,0.485686146930084,2000.505,0.236662131787531,1486.855,0.175896723056903,51.525,0.00609546906423755,1363,0.161244528569739,102.125,0.0120815095232462,180,0.0212942150715722,88,0.010410505146102,271,0.0320596238022004,0,0,0,0,0,0,0,0,0,0,52,0.00615166213178753,101,0.0119484206790489,51,0.00603336093694546,34,0.00402224062463031,14,0.00165621672778895,154,0.0182183840056785,29,0.00343073465041997,63,0.00745297527505028,65,0.00768957766473441,4105.505,0.485686146930084,1363,0.161244528569739,627,0.0741748491659766,0,0,101,0.0119484206790489,14,0.00165621672778895
"UPPSALA VÄSTERTORG",202233,8577,979.043,0.11414748746648,243.218,0.0283570012824997,117.825,0.013737320741518,0,0,252,0.0293809024134313,0,0,0,0,7,0.000816136178150869,100,0.0116590882592981,44,0.00512999883409117,158,0.018421359449691,57,0.00664568030779993,861.218,0.100410166724962,215.218,0.0250924565698962,117.825,0.013737320741518,33.393,0.00389331934242742,92,0.0107263611985543,0,0,0,0,97,0.0113093156115192,155,0.0180715868019121,0,0,0,0,0,0,0,0,0,0,7,0.000816136178150869,53,0.00617931677742801,47,0.00547977148187012,28,0.00326454471260347,16,0.0018654541214877,129,0.0150402238544946,29,0.00338113559519646,46,0.00536318059927714,11,0.00128249970852279,861.218,0.100410166724962,92,0.0107263611985543,485,0.0565465780575959,0,0,53,0.00617931677742801,16,0.0018654541214877
"UPPSALA VÄSTERTORG",202232,7464,800.47,0.107244105037513,200.735,0.026893756698821,106.735,0.014299973204716,0,0,173,0.0231779206859593,0,0,0,0,2,0.000267952840300107,66,0.00884244372990354,52,0.00696677384780279,131,0.017550911039657,69,0.0092443729903537,693.735,0.0929441318327974,177.735,0.0238122990353698,106.735,0.014299973204716,0,0,94,0.012593783494105,0,0,0,0,67,0.00897642015005359,106,0.0142015005359057,0,0,0,0,0,0,0,0,0,0,2,0.000267952840300107,29,0.00388531618435155,37,0.00495712754555198,42,0.00562700964630225,10,0.00133976420150054,119,0.0159431939978564,12,0.00160771704180064,48,0.00643086816720257,21,0.00281350482315113,693.735,0.0929441318327974,94,0.012593783494105,383,0.0513129689174705,0,0,29,0.00388531618435155,10,0.00133976420150054
"UPPSALA VÄSTERTORG",202231,6750,738.581,0.109419407407407,240.771,0.0356697777777778,109.81,0.0162681481481481,0,0,140,0.0207407407407407,0,0,0,0,1,0.000148148148148148,74,0.010962962962963,41,0.00607407407407407,84,0.0124444444444444,48,0.00711111111111111,628.771,0.0931512592592593,160.771,0.0238179259259259,109.81,0.0162681481481481,1.961,0.000290518518518519,129,0.0191111111111111,0,0,0,0,51,0.00755555555555556,89,0.0131851851851852,0,0,0,0,0,0,0,0,0,0,1,0.000148148148148148,37,0.00548148148148148,37,0.00548148148148148,31,0.00459259259259259,10,0.00148148148148148,74,0.010962962962963,10,0.00148148148148148,35,0.00518518518518519,13,0.00192592592592593,628.771,0.0931512592592593,129,0.0191111111111111,292,0.0432592592592593,0,0,37,0.00548148148148148,10,0.00148148148148148
"UPPSALA VÄSTERTORG",202230,6874,703.831,0.10239031131801,195.851,0.0284915624090777,101.98,0.0148356124527204,0,0,112,0.0162932790224033,0,0,0,0,4,0.000581902822228688,68,0.00989234797788769,45,0.00654640675007274,106,0.0154204247890602,71,0.0103287750945592,601.851,0.0875546988652895,187.851,0.0273277567646203,101.98,0.0148356124527204,10.871,0.00158146639511202,83,0.0120744835612453,0,0,0,0,30,0.00436427116671516,82,0.0119290078556881,0,0,0,0,0,0,0,0,0,0,4,0.000581902822228688,35,0.00509164969450102,33,0.00480069828338667,34,0.00494617398894385,11,0.00160023276112889,98,0.0142566191446029,8,0.00116380564445738,56,0.00814663951120163,15,0.00218213558335758,601.851,0.0875546988652895,83,0.0120744835612453,285,0.041460576083794,0,0,35,0.00509164969450102,11,0.00160023276112889
"UPPSALA VÄSTERTORG",202229,6775,822.82,0.121449446494465,185.41,0.0273667896678967,81.41,0.0120162361623616,0,0,181,0.0267158671586716,0,0,0,0,4,0.000590405904059041,93,0.0137269372693727,90,0.0132841328413284,136,0.0200738007380074,52,0.00767527675276753,741.41,0.109433210332103,137.41,0.0202819188191882,81.41,0.0120162361623616,0,0,104,0.0153505535055351,0,0,0,0,54,0.00797047970479705,127,0.0187453874538745,0,0,0,0,0,0,0,0,0,0,4,0.000590405904059041,40,0.00590405904059041,53,0.00782287822878229,82,0.0121033210332103,8,0.00118081180811808,119,0.0175645756457565,17,0.00250922509225092,43,0.00634686346863469,9,0.00132841328413284,741.41,0.109433210332103,104,0.0153505535055351,452,0.0667158671586716,0,0,40,0.00590405904059041,8,0.00118081180811808
"UPPSALA VÄSTERTORG",202228,6838,718.16,0.105024861070488,164.08,0.0239953202690845,81.08,0.0118572682070781,0,0,170,0.0248610704884469,0,0,0,0,1,0.000146241591108511,77,0.0112606025153554,39,0.00570342205323194,138,0.0201813395729746,48,0.00701959637320854,637.08,0.0931675928634104,130.08,0.0190231061713951,81.08,0.0118572682070781,0,0,83,0.0121380520620064,0,0,0,0,39,0.00570342205323194,131,0.019157648435215,0,0,0,0,0,0,0,0,0,0,1,0.000146241591108511,33,0.00482597250658087,44,0.0064346300087745,31,0.00453348932436385,8,0.00116993272886809,115,0.0168177829774788,23,0.00336355659549576,35,0.00511845568879789,13,0.00190114068441065,637.08,0.0931675928634103,83,0.0121380520620064,383,0.0560105293945598,0,0,33,0.00482597250658087,8,0.00116993272886809
"UPPSALA VÄSTERTORG",202227,6995,758.85,0.108484631879914,215.925,0.0308684774839171,96.925,0.0138563259471051,0,0,157,0.0224446032880629,0,0,0,0,3,0.000428877769835597,74,0.0105789849892781,34,0.00486061472480343,126,0.0180128663330951,52,0.00743388134381701,661.925,0.0946283059328091,151.925,0.0217190850607577,96.925,0.0138563259471051,0,0,119,0.017012151536812,0,0,0,0,31,0.00443173695496783,126,0.0180128663330951,0,0,0,0,0,0,0,0,0,0,3,0.000428877769835597,29,0.0041458184417441,45,0.00643316654753395,27,0.00385989992852037,7,0.00100071479628306,108,0.0154395997140815,18,0.00257326661901358,41,0.00586132952108649,11,0.00157255182273052,661.925,0.0946283059328091,119,0.017012151536812,355,0.0507505360972123,0,0,29,0.0041458184417441,7,0.00100071479628306
"UPPSALA VÄSTERTORG",202226,7297,722.77,0.0990502946416335,173.385,0.0237611347128957,72.385,0.00991983006715088,0,0,212,0.0290530354940386,0,0,0,0,3,0.000411127860764698,55,0.00753734411401946,44,0.00602987529121557,104,0.0142524325065095,59,0.00808551459503906,650.385,0.0891304645744827,134.385,0.0184164725229546,72.385,0.00991983006715088,0,0,101,0.0138413046457448,0,0,0,0,52,0.00712621625325476,160,0.0219268192407839,0,0,0,0,0,0,0,0,0,0,3,0.000411127860764698,33,0.00452240646841168,22,0.00301493764560778,34,0.00465944908866658,10,0.00137042620254899,87,0.0119227079621762,17,0.00232972454433329,44,0.00602987529121557,15,0.00205563930382349,650.385,0.0891304645744827,101,0.0138413046457448,372,0.0509798547348225,0,0,33,0.00452240646841168,10,0.00137042620254899
"UPPSALA VÄSTERTORG",202225,7309,755.28,0.103335613627035,190.14,0.0260145026679436,67.14,0.00918593514844712,0,0,263,0.0359830346148584,0,0,0,0,2,0.000273635244219455,50,0.00684088110548639,34,0.00465179915173074,101,0.0138185798330825,48,0.00656724586126693,688.14,0.094149678478588,117.14,0.0160268162539335,67.14,0.00918593514844712,0,0,123,0.0168285675194965,0,0,0,0,87,0.0119031331235463,176,0.0240799014913121,0,0,0,0,0,0,0,0,0,0,2,0.000273635244219455,30,0.00410452866329183,20,0.00273635244219455,23,0.00314680530852374,11,0.00150499384320701,83,0.0113558626351074,18,0.0024627171979751,38,0.00519906964016965,10,0.00136817622109728,688.14,0.094149678478588,123,0.0168285675194965,407,0.0556847721986592,0,0,30,0.00410452866329183,11,0.00150499384320701
